286,5,1,5,5,5,5
289,2,2,2,3,2,5
291,3,1,5,5,5,3
293,1,2,5,5,5,1
312,2,1,5,5,5,5
314,2,2,4,4,3,3
315,3,1,5,5,3,4
321,2,1,5,5,4,4
322,2,1,5,5,4,4
329,1,1,5,5,5,5
330,1,1,5,5,5,5
331,1,1,5,5,3,3
337,2,1,5,5,5,2
324,2,1,4,4,5,5
344,1,5,4,5,5,1
350,1,1,5,5,4,4
356,3,1,5,5,4,5
362,3,1,5,5,5,3
366,1,1,5,5,5,5
367,1,1,5,5,5,5
368,3,1,5,4,3,3
371,2,1,4,4,3,3
372,1,1,5,5,5,1
358,4,1,5,4,5,4
373,3,3,5,5,5,5
375,1,1,5,5,5,
296,3,1,5,5,5,1
297,3,1,5,5,5,1
361,1,1,5,5,5,5
285,1,1,5,5,5,5
290,1,3,5,5,1,1
300,3,1,3,5,4,5
309,3,2,5,5,5,5
326,3,1,5,5,5,4
327,5,1,5,5,5,4
328,3,1,5,5,5,4
333,3,1,5,5,5,4
334,2,1,4,5,5,2
335,2,1,4,5,5,2
347,4,1,5,4,4,5
348,4,1,5,4,4,5
349,3,1,5,5,5,3
352,3,1,5,5,5,3
357,2,1,5,5,5,5
368,3,1,5,4,3,3
370,4,2,5,4,2,2
302,3,1,5,5,5,5
332,3,1,5,5,5,4
353,4,1,5,5,5,5
363,3,1,5,5,5,5
