193,3,1,5,5,4,4
194,3,1,5,5,5,5
204,1,1,5,5,1,1
208,3,1,5,5,5,5
209,3,1,5,5,5,5
217,2,2,5,5,5,3
219,4,1,5,5,5,5
225,3,1,5,5,4,4
228,3,1,5,4,5,4
229,2,1,5,5,4,4
238,4,2,5,3,5,5
241,1,1,3,5,1,1
242,3,1,5,1,5,1
243,4,2,5,5,5,5
245,3,1,5,5,5,5
247,1,1,5,5,1,5
248,1,1,5,5,5,5
254,3,1,5,5,4,1
267,1,1,5,5,5,5
272,2,1,5,5,5,1
273,2,1,5,5,5,1
275,1,1,5,5,5,5
276,3,1,5,5,5,5
280,3,1,5,5,3,3
281,3,1,5,5,3,3
282,1,1,5,5,5,3
215,,,,,,
197,1,1,5,5,3,3
196,1,1,5,5,3,3
206,2,1,5,5,5,5
207,2,1,5,5,5,5
262,1,1,4,5,1,5
227,3,3,4,5,4,5
195,3,1,5,5,4,1
196,2,1,5,5,4,1
199,2,2,5,1,1,5
202,1,1,5,5,3,3
203,3,3,3,3,3,3
205,1,1,5,5,5,1
206,1,1,5,5,3,3
207,1,1,5,5,3,3
208,3,3,3,3,3,3
209,3,3,3,3,3,3
210,1,1,5,5,1,5
214,1,1,5,5,5,5
215,1,1,5,5,5,5
217,1,1,5,5,5,5
219,1,1,5,5,5,5
221,5,1,3,3,5,1
222,5,1,3,3,5,1
223,3,3,5,4,3,3
224,3,3,3,3,3,1
225,3,3,3,3,3,1
226,3,1,5,5,5,1
227,3,1,5,5,5,1
228,3,3,5,5,3,1
229,3,3,5,5,3,1
230,3,3,5,5,3,3
231,3,3,5,5,3,3
232,3,3,5,5,3,3
233,1,1,5,5,1,5
236,1,1,5,5,1,3
211,3,1,5,5,4,4
204,1,1,5,5,1,5
218,1,1,5,5,1,5
237,3,2,5,5,5,5
238,3,2,5,5,5,5
239,1,1,5,4,4,5
240,1,1,5,4,4,5
218,,,,,,
240,1,1,5,5,3,3
245,1,1,5,3,3,3
246,1,1,5,5,3,3
247,1,1,5,5,3,3
248,1,1,5,5,2,3
249,1,1,5,5,5,1
250,1,1,5,5,5,1
251,4,3,5,5,4,1
252,1,1,5,5,3,3
253,1,1,5,5,3,3
254,1,1,5,5,3,3
255,1,1,5,5,3,3
256,1,1,5,5,3,1
257,1,1,5,5,3,1
258,1,1,5,5,3,1
260,1,1,5,5,1,5
261,1,1,5,5,1,4
262,1,1,5,5,1,5
267,3,3,3,3,3,3
268,1,1,5,5,3,3
269,1,1,5,5,3,3
270,1,1,5,5,3,3
271,1,1,1,1,1,1
272,1,1,5,5,4,4
273,1,1,5,5,5,1
274,1,1,5,5,1,5
275,1,1,5,5,1,5
276,3,3,5,5,3,3
277,3,3,5,5,3,3
278,1,1,5,5,1,5
279,1,1,5,5,5,1
280,1,1,5,5,5,3
281,1,1,5,5,3,3
282,1,1,5,5,4,2
283,1,1,5,5,4,4
